Wavlength (nm),b,g,r,re,nir
829,0.000269765,0.000964291,0.001427976,0.002139176,0.972488074
830,0.000274544,0.000917522,0.000683088,0.001610669,0.969946854
831,0.000478824,0.001127077,0.00122932,0.001484693,0.968127116
832,0.000308255,0.001250241,0.000870894,0.003244653,0.962585292
833,0.000188245,0.001038327,0.000952364,0.001890328,0.96071764
834,0.000199289,0.000362432,0.001268478,0.002567479,0.956557722
835,7.86E-05,0.000390267,0.000936093,0,0.950708643
836,0.000404776,0.000688447,0.001383754,0.002851334,0.945547988
837,0.000205217,0.000271369,0.001974163,0.002721738,0.938456522
838,0.000220514,0.000345667,0.001531261,0.001492981,0.930494132
839,0.000456365,0.00059129,0.000893143,0.003162384,0.924714012
840,0.000333331,0.00061922,0.000843032,0.001230093,0.917026373
841,0.000297526,0.000593328,0.001218341,0.000684995,0.903240503
842,0.000149199,0.00058451,0.00098105,0,0.887709034
843,0.000244276,0.000755113,0.000802075,0.000411141,0.87446161
844,0.000260014,0.000781267,0.001694441,0.000274452,0.860526882
845,0.000181821,0.000567321,0.000733407,0.002203826,0.845017643
846,0.000230474,0.000714427,0.000840795,0.000970254,0.830326067
847,0.000106703,0.000873811,0.000722404,0.000829582,0.814273151
848,0.000384268,0.000711527,0.001015732,0.000275256,0.796619282
849,0.000347732,0.000691466,0.001382956,0,0.782274264
850,0.000241312,0.0009284,0.001139425,0.000275579,0.765184072
851,0.000638087,0.0009798,0.001146268,0.000606314,0.748976637
852,0.000650476,0.001190073,0.00127344,0.000474893,0.733908264
853,0.000389267,0.000948252,0.001566092,0.000499646,0.722325662
854,0.000592967,0.001002893,0.001109588,0.000374602,0.708310838
855,0.000539163,0.0011074,0.001728366,0.000397521,0.699106223
856,0.000624682,0.001131518,0.001718355,0.001154745,0.680061612
857,0.000370864,0.001298599,0.001504582,0.00078068,0.663851325
858,0.000669704,0.001185761,0.00128526,0.001016247,0.644178601
859,0.00041076,0.001205005,0.001090646,0.000758195,0.621770728
860,0.000452577,0.001348361,0.00136279,0.000754037,0.592866666
861,0.000246772,0.000950755,0.001357429,0.000949981,0.565635834
862,0.000748764,0.001082344,0.001363056,0.001001413,0.525662302
863,0.000223519,0.001199891,0.0011879,0.000367256,0.477544473
864,0.00045789,0.000931157,0.001084445,0.000467466,0.417024167
865,0.000397429,0.001197101,0.00148245,0.000715307,0.347204026
866,0.000376797,0.001274828,0.001106712,0.000990987,0.299890365
867,0.000514737,0.000849182,0.001039834,0.001059926,0.231898896
868,0.000463347,0.000825915,0.000993852,0.000572729,0.172507268
869,0.000232874,0.000896832,0.001379621,0.000252393,0.125722375
870,0.000396411,0.000983813,0.001202564,0.000622186,0.09167022
871,0.000697835,0.000864745,0.001515751,0.00066005,0.073842585
872,0.000668615,0.001144111,0.001310039,0.00068179,0.054025836
873,0.000327043,0.001106739,0.001047236,0.000805346,0.040131678
874,0.000486368,0.000932065,0.000978887,0.000778445,0.030365893
875,0.000323211,0.001146153,0.001502356,0.00026895,0.023348326
876,0.00049699,0.000951581,0.000946071,0.000894336,0.019131142
877,0.000619105,0.000946327,0.001071777,0.000912408,0.014851171
878,0.000291837,0.00114869,0.001298794,0.000285771,0.011694835
879,0.000399679,0.00081737,0.001017828,0.000238945,0.009162357
880,0.000345164,0.00074182,0.000887796,0.000502083,0.007800684
881,0.0002525,0.000803347,0.000956753,0.000901316,0.006118114
882,0.00046241,0.000870761,0.001299935,0.000287002,0.004905763
883,0.000223468,0.000963807,0.001260866,0.000718476,0.003848865
884,0.000396076,0.001072491,0.000986058,0.000881758,0.003433949
885,0.00047905,0.000890035,0.001146771,0.00019512,0.002953987
886,0.000276864,0.0007224,0.001162211,0.000323918,0.002747047
887,0.000448862,0.000767709,0.000949236,0.000321804,0.002351069
888,0.000171651,0.000969836,0.000890801,0.000561743,0.00184277
889,0.000474087,0.000932509,0.000783589,0.000464329,0.001594667
890,0.000167227,0.000947853,0.000952832,0.000434604,0.001478308
891,0.000452257,0.000774747,0.001180929,0.000401879,0.001208344
892,0.000227331,0.000971331,0.000899458,0.000349652,0.00125069
893,0.000352705,0.000611376,0.000916189,0.000414946,0.001273208
894,0.000270021,0.000649594,0.000989673,0.00051943,0.001049948
895,0.000467874,0.000884341,0.000772925,0.000654656,0.001030008
896,0.000466635,0.00067022,0.000991848,0.000696588,0.001011175
897,0.000183299,0.000776717,0.000753142,0.000552645,0.000992597
898,0.000372995,0.000667344,0.000917118,0.000529686,0.000974089
899,0.000487059,0.000697226,0.001063588,0.000691706,0.000955744
900,0.000209986,0.00074771,0.000961675,0.000459979,0.000937652
