Wavlength (nm),b,g,r,re,nir
492,0.291755452,0.000718679,0.008163776,0.002720891,0.0053332
493,0.17553874,0.000865936,0.007607144,0.001357904,0.005426066
494,0.100868074,0.001234386,0.006861741,0.001508532,0.004469959
495,0.044656896,0.00115731,0.006748356,0.002852371,0.002025921
496,0.02713932,0.00102888,0.007087072,0.002091699,0.002123689
497,0.017254621,0.001287358,0.008078619,0.002819006,0.001952128
498,0.011870224,0.001471395,0.009163095,0.001034178,0.001701477
499,0.007592213,0.001181992,0.012259814,0.002054202,0.00120591
500,0.005862617,0.001638537,0.01567772,0.000876505,0.001472463
501,0.004991425,0.0015354,0.018500482,0.000876043,0.001600474
502,0.004244262,0.0017188,0.02227779,0.00231867,0.001210561
503,0.003952303,0.00199433,0.024407898,0.002871193,0.000767381
504,0.004225641,0.001676172,0.02653223,0.002285829,0.001447898
505,0.004843868,0.002044102,0.02984123,0.001276228,0.001362549
506,0.004713313,0.001135474,0.042603352,0.001535658,0.001708902
507,0.003866456,0.001031493,0.051795412,0.000832781,0.002177504
508,0.002853254,0.001288764,0.053859829,0.000692611,0.001957028
509,0.00177779,0.001573664,0.040992016,0.000137257,0.001407457
510,0.001220668,0.001420062,0.03242995,0.002170879,0.001825661
511,0.001075666,0.001602047,0.027599564,0.001213371,0.0018635
512,0.001115107,0.001947058,0.028354615,0.000268775,0.001756805
513,0.000934326,0.001554591,0.041205182,0.001873221,0.002154755
514,0.000788606,0.001784689,0.052529689,0.000800759,0.001484774
515,0.000621509,0.002033238,0.052059735,0.000660458,0.001031599
516,0.000925568,0.001992532,0.029132453,0.000131318,0.001240058
517,0.000775223,0.001946385,0.016966948,0,0.001159456
518,0.000740794,0.002275459,0.009820363,0,0.001236963
519,0.000637176,0.002528927,0.007221046,0.000260757,0.001344335
520,0.000497485,0.00269807,0.005232419,0.00130297,0.001361329
521,0.000616644,0.003317448,0.00541433,0.00336253,0.001425802
522,0.000917783,0.004264503,0.00549019,0.00492668,0.001686834
523,0.000798477,0.007791295,0.005546332,0.015380728,0.001848701
524,0.000527127,0.010774493,0.005338722,0.030588775,0.002269586
525,0.00059564,0.012785979,0.004868105,0.030126017,0.001779268
526,0.000600652,0.012641523,0.005172671,0.018817914,0.002192534
527,0.000643662,0.01262045,0.00545626,0.006749403,0.002226072
528,0.000704275,0.012489119,0.005633968,0.004461511,0.002541935
529,0.000509796,0.012402004,0.006589068,0.003555622,0.002362259
530,0.000552123,0.013373078,0.006096927,0.001401584,0.002486725
531,0.000814088,0.013493358,0.007244444,0.001281548,0.002357669
532,0.00093226,0.0133778,0.009030217,0.001154929,0.002549438
533,0.001372456,0.014715892,0.014650155,0.00366546,0.003513875
534,0.001845924,0.014996364,0.023125816,0.001560322,0.003130508
535,0.002002233,0.015324022,0.029251139,0.002446171,0.00282694
536,0.001434603,0.016768353,0.024837307,0.003536629,0.002821377
537,0.001267976,0.017392901,0.018252314,0.003254713,0.002486784
538,0.001469406,0.018522021,0.014092151,0.002457238,0.001979638
539,0.001428577,0.019298939,0.011372392,0.002782718,0.002220093
540,0.00100812,0.021589671,0.009431494,0.003838191,0.001439521
541,0.000828123,0.024210497,0.009675405,0.004698299,0.001533896
542,0.000692095,0.027642142,0.009707286,0.004883865,0.001019974
543,0.000485893,0.036119877,0.011429144,0.00470898,0.001160893
544,0.00059814,0.047162781,0.012220646,0.004887421,0.001262031
545,0.000626943,0.069377239,0.015422725,0.006331315,0.00114533
546,0.000818566,0.167710409,0.024108025,0.006680326,0.002010276
547,0.000802464,0.32854385,0.030904131,0.00640944,0.001981466
548,0.000831017,0.562479618,0.032858499,0.007165674,0.002024281
549,0.001377709,0.834238569,0.023006927,0.007777699,0.003023829
550,0.001609146,0.901490639,0.016154841,0.007535769,0.004363682
551,0.002389074,0.933099963,0.010956423,0.005781939,0.006985995
552,0.003486837,0.980745427,0.007680826,0.006549912,0.010717156
553,0.003327537,0.998118535,0.006987086,0.00557002,0.011495453
554,0.002697735,0.999540942,0.006441307,0.006227074,0.010874431
555,0.00142645,0.9811776,0.004539259,0.005111322,0.006705317
556,0.00098946,0.969359923,0.004064847,0.003142459,0.004707831
557,0.000943116,0.963301886,0.00430466,0.001732504,0.003130902
558,0.000532932,0.967334548,0.004024499,0.003753888,0.002283237
