Wavelength (nm), Blue, Green, Red, NIR
630,0.000911369,0,0,0
631,0.000911369,0,0,0
632,0.000911369,0,0,0
633,0.000911369,0,0,0
634,0.000911369,0,0.001909438,0
635,0.000911369,0,0,0
636,0.000911369,0,0,0
637,0.000911369,0,0,0
638,0.000911369,0,0,0
639,0.000911369,0,0.000272777,0
640,0.000911369,0,0,0
641,0.000911369,0,0.000545554,0
642,0.000911369,0,0.000272777,0
643,0.000911369,0,0.000818331,0
644,0.000911369,0,0.001091107,0
645,0.000911369,0,0.002727769,0
646,0.000911369,0,0.007637752,0
647,0.000911369,0,0.021822149,0
648,0.000911369,0,0.070103655,0
649,0.000911369,0,0.239225314,0
650,0.000911369,0,0.622476814,0
651,0.000911369,0,0.927441353,0
652,0.000911369,0,0.990998363,0
653,0.000911369,0,1,0
654,0.000911369,0,0.999181669,0
655,0.000911369,0,0.992089471,0
656,0.000911369,0,0.989088925,0
657,0.000911369,0,0.992907801,0
658,0.000911369,0,0.987725041,0
659,0.000911369,0,0.982815057,0
660,0.000911369,0,0.978723404,0
661,0.000911369,0,0.977086743,0
662,0.000911369,0,0.980087289,0
663,0.000911369,0,0.975995636,0
664,0.000911369,0,0.965630115,0
665,0.000911369,0,0.959356247,0
666,0.000911369,0,0.954446263,0
667,0.000911369,0,0.950081833,0
668,0.000911369,0,0.947899618,0
669,0.000911369,0,0.944626296,0
670,0.000911369,0,0.93726132,0
671,0.000911369,0,0.931533006,0
672,0.000911369,0,0.924713584,0
673,0.000911369,0,0.928259684,0
674,0.000911369,0,0.924168031,0
675,0.000911369,0,0.921713039,0
676,0.000911369,0,0.918439716,0
677,0.000911369,0,0.91462084,0
678,0.000911369,0,0.913256956,0
679,0.000911369,0,0.906983088,0
680,0.000911369,0,0.903164212,0
681,0.000911369,0,0.893071468,0
682,0.000911369,0,0.771140207,0
683,0.000911369,0,0.374249864,0
684,0.000911369,0,0.091925805,0
685,0.000911369,0,0.019912711,0
686,0.000911369,0,0.006273868,0
687,0.000911369,0,0.002454992,0
688,0.000911369,0,0.000545554,0
689,0.000911369,0,0,0
690,0.000911369,0,0.000272777,0
691,0.000911369,0,0.000818331,0
692,0.000911369,0,0,0
693,0.000911369,0,0,0
694,0.000911369,0,0.000545554,0
695,0.000911369,0,0.001909438,0
696,0.000911369,0,0,0
697,0.000911369,0,0,0
698,0.000911369,0,0,0
699,0.000911369,0,0,0
